move_pkid;move_id;year;month;departure;arrival;from_id;to_id;from_name;to_name;from_type;to_type;vessel_id;vessel_name;vessel_type;dwt;time
73100;;1977;3;05/03/1977 00:00;05/03/1977 00:00;4572;2594;New York;Philadelphia;1;1;2363;Brisbane Maru;fully cellular containership;37129;0
464389;;1977;3;05/03/1977 00:00;05/03/1977 00:00;5295;2151;Busan;Kobe;1;1;37516;Mayaguez;fully cellular containership;8651;0
68324;;1977;3;05/03/1977 00:00;05/03/1977 00:00;3164;4593;Hong Kong;Keelung;1;1;2101;Wing Sing;fully cellular containership;2905;0
77776;;1977;3;05/03/1977 00:00;05/03/1977 00:00;3164;4593;Hong Kong;Keelung;1;1;2670;Ankara;fully cellular containership;37129;0
503831;;1977;3;05/03/1977 00:00;05/03/1977 00:00;4572;2561;New York;Hampton Roads;1;1;42564;Alacrity;fully cellular containership;8222;0
67097;;1977;3;05/03/1977 00:00;05/03/1977 00:00;1828;830;Le Havre;Rotterdam;1;1;2051;American Archer;fully cellular containership;15692;0
794094;;1977;3;05/03/1977 00:00;05/03/1977 00:00;3164;5196;Hong Kong;Manila;1;1;73345;Kai Hang 6;fully cellular containership;6699;0
609282;;1977;3;05/03/1977 00:00;05/03/1977 00:00;1369;4572;San Juan(PRI);New York;1;1;52712;San Juan;fully cellular containership;18184;0
50629;;1977;3;05/03/1977 00:00;05/03/1977 00:00;854;1369;Baltimore;San Juan(PRI);1;1;624;Voyager;fully cellular containership;15231;0
619762;;1977;3;05/03/1977 00:00;05/03/1977 00:00;830;2331;Rotterdam;Houston;1;1;53612;Sea-Land Economy;fully cellular containership;25696;0
382308;;1977;3;05/03/1977 00:00;05/03/1977 00:00;830;4640;Rotterdam;Southampton;1;1;30654;MSC Claudia;fully cellular containership;35737;0
794093;;1977;3;05/03/1977 00:00;05/03/1977 00:00;5196;3164;Manila;Hong Kong;1;1;73345;Kai Hang 6;fully cellular containership;6699;0
261668;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4289;5521;Leghorn;Genoa;1;1;17757;Export Freedom;fully cellular containership;16605;0
134676;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4534;830;Dordrecht;Rotterdam;1;1;6642;Feeder 4;fully cellular containership;4625;0
123444;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4489;311;Seattle;Vancouver(CAN);1;1;6046;Beishu Maru;fully cellular containership;24191;0
609283;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4572;1369;New York;San Juan(PRI);1;1;52712;San Juan;fully cellular containership;18184;0
209337;;1977;3;06/03/1977 00:00;06/03/1977 00:00;1828;4640;Le Havre;Southampton;1;1;14127;CanMar Ambassador;fully cellular containership;29204;0
503744;;1977;3;06/03/1977 00:00;06/03/1977 00:00;830;2248;Rotterdam;Felixstowe;1;1;42561;Fairbridge;fully cellular containership;8723;0
736407;;1977;3;06/03/1977 00:00;06/03/1977 00:00;5521;941;Genoa;Algeciras;1;1;65317;Warrior;fully cellular containership;6953;0
558371;;1977;3;06/03/1977 00:00;06/03/1977 00:00;143;5393;Helsinki;St. Petersburg;1;1;47122;Silver Castle;fully cellular containership;6213;0
432715;;1977;3;06/03/1977 00:00;06/03/1977 00:00;2823;1697;Aarhus;Bremerhaven;1;1;35107;MSC Pioneer;fully cellular containership;20719;0
302861;;1977;3;06/03/1977 00:00;06/03/1977 00:00;3832;593;Nagoya;Shimizu;1;1;22755;Golden Gate Bridge;fully cellular containership;17188;0
43844;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4572;3917;New York;Boston(USA);1;1;146;Queensland Star;fully cellular containership;28037;0
423710;;1977;3;06/03/1977 00:00;06/03/1977 00:00;4289;3592;Leghorn;Naples;1;1;34367;Frankfurt Express;fully cellular containership;7508;0
620257;;1977;3;06/03/1977 00:00;06/03/1977 00:00;2782;3381;Port Everglades;New Orleans;1;1;53620;Horizon Producer;fully cellular containership;25699;0
568919;;1977;3;07/03/1977 00:00;07/03/1977 00:00;4489;2151;Seattle;Kobe;1;1;47716;President Taft;fully cellular containership;17757;0
